georgian,english
შენ არა ხარ ექიმი.,You're not a doctor.
გერმანულად ლაპარაკობ?,Do you speak German?
გერმანულად ლაპარაკობთ?,Do you speak German?
და შენ?,And you?
ებრაულად ლაპარაკობ?,Do you speak Hebrew?
ებრაულად ლაპარაკობთ?,Do you speak Hebrew?
ეს არის მანქანა.,This is a car.
ეს მანქანაა.,This is a car.
"ქალმა 30 წიგნი დაწერა იმაზე, თუ როგორ გავხდეთ ბედნიერი, და შემდეგ თავი მოიკლა.","A woman wrote 30 books about how to become happy, and then committed suicide."
მე ვარ აბაზანაში.,I'm in the bath.
ერთი ენა არასოდეს არაა საკმარისი.,One language is never enough.
პირველი საათია.,It's one o'clock.
იტალიაში წასვლა მინდა.,I want to go to Italy.
ვეთანხმებით.,We agree.
შენ მომღერალი ხარ.,You are a singer.
თქვენ მომღერალი ხართ.,You are a singer.
დაწოლა მინდა!,I want to go to bed!
თურქულად ლაპარაკობ?,Do you speak Turkish?
თურქულად ლაპარაკობთ?,Do you speak Turkish?
ლონდონში წასვლა მინდა.,I want to go to London.
მე ბანკში ვმუშაობ.,I work in a bank.
უფერო მწვანე წარმოდგენებს გააფთრებულად ძინავთ.,Colorless green ideas sleep furiously.
სახლი მაქვს.,I have a house.
ნუ წახვედი.,Don't go.
"მე მჯერა კაილი მინოუგის, 1998 წლის 12 ივნისიდან.","I've believed in Kylie Minogue since June 12, 1998."
მაგიდა მწვანეა.,The table is green.
მე სააფთიაქოში ვმუშაობ.,I work in a pharmacy.
კაცი პურს ჭამს.,The man is eating bread.
ლამაზი ხარ.,You're beautiful.
ლამაზები ხართ.,You're beautiful.
ლამაზი ხართ.,You're beautiful.
ნუ დატოვე!,Don't leave!
შვიდი საათია.,It's seven o'clock.
კაცმა პური შეჭამა.,The man ate the bread.
მე მინდა მოვკვდე გეთერ იანი - თან ერთად.,I want to die with Getter Jaani.
მე ტურისტულ სააგენტოში ვმუშაობ.,I work in a tourist agency.
ინგლისში წასვლა მინდა.,I want to go to England.
ეს არის ჩემი ელექტრონული ფოსტის მისამართი.,This is my email address.
მაია კეუცი არის კარგი მომღერალი.,Maja Keuc is a good singer.
ნუ ტირი.,Don't cry.
25 წლის ვარ.,I'm 25 years old.
იაპონიაში წასვლა მინდა.,I want to go to Japan.
გრამატიკა ძალიან რთულია.,Grammar is very complicated.
აფრიკა მიგრაციის კონტინენტია.,Africa is a continent of migration.
ინტერნეტი სერიოზული ბიზნესია.,The Internet is serious business.
"ტომს უჭირს გაუმკლავდეს ფაქტს, რომ მისმა შვილმა თავი მოიკლა.",Tom is having trouble coping with the fact that his son committed suicide.
მარიამი ტომის დედაა.,Mary is Tom's mother.
მარიამი არის ტომის დედა.,Mary is Tom's mother.
ოციტანური ენა მიყვარს.,I like the Occitan language.
ევროპაში ხარ!,You're in Europe!
ტომს უჭირდა სიტუაციის გამოსწორება.,Tom had trouble resolving the situation.
მე ვაშლს ვჭამ.,I eat an apple.
"გამარჯობა, რა გქვია?","Hello, what is your name?"
ეჭვი მეპარება.,I doubt it.
შევთანხმეთ.,We concurred.
ეს თვითმკვლელობაა.,This is suicide!
გოგო ჩაის სვამს.,The girl is drinking tea.
შვედეთში წასვლა მინდა.,I want to go to Sweden.
შეხვედრამდე.,See you.
ნახვამდის.,See you.
ის ჩემი ძაღლია.,It is my dog.
თომს აქვს მუქი კანი.,Tom has dark skin.
ჩართოთ ტელევიზორი.,Turn on the TV.
მოთოვა.,It snowed.
მე არ ვარ ექიმი.,I'm not a doctor.
თბილისში ვცხოვრობ.,I live in Tbilisi.
ახალი მასწავლებელი საკლასო ოთახშია.,The new teacher is in the classroom.
მე მინდა ვიყო ჟურნალისტი.,I want to become a journalist.
ჭამა მინდა.,I want to eat.
ასე ხმალი მინდა!,I want a sword like this!
ნაყინის ჭამა მინდა.,I want to eat ice cream.
ხუთი საათია.,It's five o'clock.
ხმალი მინდა!,I want a sword!
"მარი გაოგნდა, როცა გაიგო, რომ ტომს თავის ბიძაშვილთან სექსი ჰქონდა.",Mary was shocked when she learned that Tom had had sex with his cousin.
ორი საათია.,It's two o'clock.
მერი რომანტიული კომედიები მოსწონს.,Mary likes romantic comedies.
ძალიან ბედნიერი ვარ საქართველოში.,I am very happy in Georgia.
ბურჟ ხალიფა სამყაროს ამჟამინდელი უმაღლესი ცათამბჯენია.,Burj Khalifa is currently the tallest skyscraper in the world.
ცათამბჯენი ქალაქის ცენტრშია.,The skyscraper is in the center of the city.
ჩემი ცხოვრება ცარიელია მის გარეშე.,My life is empty without him.
იწვიმა.,It rained.
ძალიან ბედნიერი ვარ ჯორჯიაში.,I am very happy in Georgia.
როდიდან?,Since when?
"ჰეი, შენ!","Hey, you!"
მე იქ ლამაზი ჩანჩქერი დავინახე.,I saw a beautiful waterfall there.
ცა ლურჯია. ზღვაც ლურჯია. ცა და ზღვა ლურჯია.,"The sky is blue, the sea is also blue. The sky and the sea are blue."
თქვენ აქ მუშაობთ?,Do you work here?
აქ მუშაობ?,Do you work here?
დედამისის იცნობ?,Do you know his mum?
ქართულად ლაპარაკობთ?,Do you speak Georgian?
ლომი ღრიალებს.,The lion is roaring.
პარიზში წასვლა მინდოდა.,I wanted to go to Paris.
მე ვერ ვხმაურობ. ბავშვი სძინავს.,I cannot make noise. The baby is sleeping.
შენ გადაწყვიტე.,You decide.
მარიამი ტომის დედაა?,Is Mary Tom's mother?
წიგნი მინდა შვედურად.,I want a book in Swedish.
"მითხრა, ვინ არის ეს ვაჟი?",Tell me; who is this young man?
"მითხრათ, ვინ არის ეს ვაჟი?",Tell me; who is this young man?
პედროს არ ჰყავს დები.,Pedro has no sisters.
ის გოგოა.,She's a girl.
"ახლა, როცა ერთნაირსქესიანთა ქორწინება ლეგალურია, ერთი ნაბიჯით ახლოს ვარ ჩემს თავთან დასაქორწინებლად.","Now that same-sex marriage is legal, I'm one step closer to marrying myself."
კატა მაგიდაზე დაჯდა.,The cat sat on the table.
მივყვეთ.,We succeeded.
ის ყველაზე ლამაზი ქალია.,She's the most beautiful woman.
დღეს კარგი ამინდია.,The weather is good today.
პურს ვჭამ.,I eat bread.
ბევრი მაქვს გასაკეთებელი.,I have a lot to do.
ბევრი მაქვს გასაკეთებლად.,I have a lot to do.
მე ბედნიერი ვარ.,I'm happy.
ბედნიერი ვარ.,I'm happy.
წასვლა არ გინდა?,Don't you want to go?
რატომ გჭირდება ჩემი ნებართვა?,Why do you need my permission?
მე უნდა წავიდე.,I have to go.
"ვიცი, რა მინდა.",I know what I want.
ვიგებთ.,We understand.
ახლა შეგიძლია წახვიდე.,You can go now.
ამერიკელი ხართ?,Are you American?
შენ ამერიკელი ხარ?,Are you American?
სახლი თბილია.,The house is warm.
მინდა გავაკეთო.,I want to do it.
მინდა მისი გაკეთება.,I want to do it.
არ მინდა ამის გაკეთება.,I don't want to do this.
გინდა ეს მიიღე?,Do you want to take that?
ხე მწვანეა.,The tree is green.
გისურვებთ ბედნიერებას.,I wish you happiness.
ის სახლის კაცია.,He's the man of the house.
მე სახლის კაცი ვარ.,I'm the man of the house.
არასოდეს დაწეროთ სიტყვები ''ბორშჩი'' და ''შჩი'' გერმანულად!,"Never write the words ""bortsch"" and ""shchi"" in German!"
ჟურნალისტები ვართ.,We're journalists.
ტომმა წავიდა.,Tom's gone.
დიდხანს გვეძინა.,We overslept.
დავაპირეთ.,We promised.
გვახსოვს.,We remember.
გადავიტანეთ.,We survived.
ვისაუბრეთ.,We talked.
მოვიგოთ.,We won.
ისინი არიან ტომის.,They're Tom's.
მე აქა ვარ.,I'm here.
დავივიწყეთ.,We forgot.
ტომი წავა.,Tom'll go.
ეგ კაცი ჯარისკაცია.,That man is a soldier.
წიგნი მაგიდაზე არის.,The book is on the table.
ეგ ტომისაა.,That's Tom's.
მწუხარე ხარ.,You're sad.
მწუხარე ხართ.,You're sad.
არ უსმენ.,You're not listening.
ამერიკელი ვარ.,I come from America.
ამერიკიდან ვარ.,I come from America.
მე ვარ ამერიკიდან.,I come from America.
მე ამერიკიდან ვარ.,I come from America.
მე ამერიკელი ვარ.,I come from America.
მე ვარ ამერიკელი.,I come from America.
ეს ტომისაა.,This is Tom's.
ტომისაა?,Is it Tom's?
ის ტომისაა?,Is that Tom's?
მოწვეული ვარ?,Am I invited?
მე არ ვარ ხნიერი.,I'm not old.
მე ეს გავაკეთე.,I've done this.
მე ზომბი ვარ!,I'm a zombie!
მე აქ არ ვცხოვრობ.,I don't live here.
ნუ გადათქვი ეს სიტყვა.,Don't say that word again.
მას მე არ უყვარვარ.,He doesn't love me.
მე აქ აღარ ვცხოვრობ.,I don't live here anymore.
