georgian,english
ატლანტაშ.,atlanta.
დემოკრატები.,Democrats.
დევიდ ჯ Malan.,DAVID J MALAN.
პორტუგალიაში.,Portugal.
მცირე მიწისძვრები ყოველ დღე ხდება იმ ქვეყანაში.,Small earthquakes happen every day in that country.
ავსტრალიაში.,Australia.
საბერძნეთის.,Greece.
"წიგნმა ""ჩამითრია"" და შენი ხმა ვერ გავიგე.",I was absorbed in a book and didn't hear you call.
შენ ჩემთვის ყველაფერი ხარ.,You are everything to me.
"მარი, შეწყვიტე. საკმარისია.","Mary, stop it. That's enough."
Martin ბანკები.,Martin Banks.
ტყუპები.,Gemini.
ფილისტიმელები.,Philistines.
სამის აქვს მუქი კანი.,Sami is dark-skinned.
სიეტლში წასვლა მინდა.,I want to go to Seattle.
დაწოლა მინდა!,I want to go to bed!
ბერლინი.,Berlin.
რომელ ბინაში ცხოვრობს?,Which flat does he live in?
ტომი თევზს იჭერდა.,Tom was fishing.
ვესვრი!,I will shoot him.
თომს აქვს მუქი კანი.,Tom has dark skin.
ჰოლანდიური.,Dutch.
ესპანეთ ი.,Spain.
ზოგიერთი ადამიანი საერთოდ ვერ მღერის.,Some people can't sing at all.
მე სტუდენტი ვარ.,I am a student.
დღეს კარგი ამინდია.,The weather is good today.
დავითი.,David.
სუპერლიგის.,Superleague.
სომეხთა ეპარქიის.,the Armenian Diocese.
DBS საკრუიზ ო Ferry.,DBS Cruise Ferry.
მე შოკოლადი მომწონს.,I like chocolate.
ლიბანის.,Lebanon.
მიტროპოლიტის მუნიციპალიტეტის.,Metropolitan Municipality.
სამხრეთ ამერიკა.,South America.
იპოდრომთან.,Hippodrome.
ტომი თევზაობდა.,Tom was fishing.
"დღისით ვსწავლობ, საღამოს კი ვმუშაობ.","I study during the day, and in the evening I work."
ქარხანაში მუშაობა უნდა.,He wants to work in a factory.
ზღვა ლურჯია.,The sea is blue.
სურათი Hyundai.,Photo Hyundai.
მოდი ვიმღეროთ სიმღერა ინგლისურად.,Let's sing a song in English.
დიდმკერდიანი Brunette.,Bigtit Brunette.
დონალდ ტრამპი.,Donald Trump.
კათოლიკური ეკლესია.,the Catholic Church.
გორში.,Gori.
ინგლისური საერთაშორისო ენაა.,English is the international language.
იმის გამო სწავლობენ ინგლისურს.,That is what they study English for.
თბილისის საერთაშორისო კინოფესტივალი.,Tbilisi International Film Festival.
ჩინურად ლაპარაკობთ?,Do you speak Chinese?
სკანდინავიურ.,Scandinavian.
თიანეთის.,Tianeti.
მტკვრის.,Mtkvari.
იმის გამო ვერ მჯერა.,That's why I cannot believe it.
მალტის.,Malta.
ამერიკელი.,American.
ინტერნეტი სერიოზული ბიზნესია.,The Internet is serious business.
ტიმოთე.,Timothy.
მე კარს ვაღებ.,I open the door.
სსრკ.,USSR.
იერუსალიმი.,Jerusalem.
უეჭველად ვერ გაგკიცხავთ.,We certainly can't blame you.
ცენტრის.,Center.
არავინ არ უნდა მიატოვოს თავისი მეგობარი.,No one should desert his friends.
ლანჩხუთი.,Lanchkhuti.
მატარებელი დროზე მოვიდა.,The train arrived on schedule.
რა ფერის იყო ჰენრი IV თეთრი ცხენი?,What colour was Henri IV's white horse?
თეთრი კატა არის ხის ქვეშ.,The white cat is under the tree.
მოსეს.,Moses.
ირლანდიაში.,Ireland.
ტელევიზორი ჩართულია.,The TV's on.
მომწონს შენი ციხე.,I like your castle.
ალჟირში დავბრუნდი.,I went back to Algeria.
ეს არის ჩემი ელექტრონული ფოსტის მისამართი.,This is my email address.
ტომმა როგორ წავიდა ავსტრალიაში?,How did Tom go to Australia?
მარი ერთ-ერათი ყველაზე პოპულარული გოგო იყო.,Mary was not one of the most popular girls.
სამი საუბრობდა სწრაფად.,Sami was talking quickly.
იქ ცხოვრობ?,Do you live there?
დავით ტვილდიანის სამედიცინო უნივერსიტეტის.,David Tvildiani Medical University.
გეთაყვა რაღაც ცივი სასმელი მომეცი.,Please give me something cold to drink.
მე ეგვიპტედან ვარ.,I am from Egypt.
ლათინური.,Latin.
ედგარ კეისი.,Edgar Cayce.
ტომმა ააშენა ახალი სახლი.,Tom has built a new house.
კატა მაგიდაზე დაჯდა.,The cat sat on the table.
აირტურბინა.,Air Turbine.
დედამიწის.,Earth.
თიბისი დაზღვევის.,TBC Insurance.
ფრანგულ.,French.
შენ ჩაის სვამ.,You drink tea.
მორიელი.,Scorpio.
განა.,Ghana.
"ის ლამაზია, მაგრამ საშიში.","She's pretty, but dangerous."
შევძლებ ესპერანტოს მალე შესწავლას?,May I study Esperanto soon?
წერილი ბარდება დღეში ერთხელ.,The mail is delivered once a day.
სასწორი.,Libra.
გიყვართ თქვენი დედა?,Do you love your mother?
ინგლისურ ი.,English.
ხალხის უმრავლესობას სჯერა ტყუილი სიახლეების.,Most people believe fake news.
იესო ქრისტე.,Jesus Christ.
დიდი ბრიტანეთისა.,Great Britain.
სომხეთი.,Armenia.
თბილისში.,Tbilisi.
"გამარჯობა, რა გქვია?","Hello, what is your name?"
"თუკი არაფერს ვამბობ, ეს იმას არ ნიშნავს, რომ გეთანხმები.","If I don't say anything, it doesn't mean I'm agreeing with you."
თბილისის სახელმწიფო უნივერსიტეტი.,Tbilisi State University.
ჩრდილოეთ ამერიკის.,North America.
ამ ქუჩას რა ქვია?,What's this street called?
ძიძა აქ არ არის.,The nurse is not here.
მაკრონი.,Macron.
დილაობით მხოლოდ ტოსტს და ყავას მივირთმევ.,I only have toast and coffee in the morning.
ბაკურიანი.,Bakuriani.
მომეცი მაგალითები.,Give examples.
პოლონეთის.,Polish.
ციოდა.,It was cold.
ამერიკაში.,America.
ფაილი ვერ მოიძებნა.,File not found.
Tatiana გარეშე.,Tatyana.
ჩვენ კარს ვაღებთ.,We open the door.
ილიას სახელმწიფო უნივერსიტეტის.,Ilia State University.
მე ამ ტენის კლუბის წევრი ვარ.,I'm a member of the tennis club.
ბულგარეთის.,Bulgarian.
ლიფტს ნუ გამოიყენებ.,Don't use the elevator.
სწავლების ცენტრის.,the Training Center.
სახლში დარჩი.,Stay home.
ზესტაფონის.,Zestaponi.
ეს სკამია.,This is a chair.
უნგრული.,Hungarian.
უკრაინას.,Ukraine.
აქართველო.,Georgia.
„საქართველოს.,Georgia.
მე შენი მოქმედებების შესახებ ვსაუბრობ.,I'm talking about your actions.
” გრენა ”.,GRENA.
ტომი და მარიამი არიან ავსტრალიაში?,Are Tom and Mary in Australia?
იაპონურად ლაპარაკობ?,Do you speak Japanese?
კავშირის.,Union.
საახალწლო.,New Year.
ევროკავშირის.,European Union.
-,HotelsSeaside.
ტაივანის.,Taiwanese.
სადაა პრობლემა?,Where is the problem?
შემიძლია ის გავაკეთო ერთ კვირაში.,I can do it in a week.
ეს არის მანქანა.,This is a car.
ვაპროგრამებ ვიდეო თამაშებს.,I program video games.
ატიკა.,Attica.
მესტია.,Mestia.
მაროკოს.,Moroccan.
მიშა.,Misha.
ნაგაზი.,Shepherd.
რა არის მინიმალური ხელფასი საქართველოში?,What's the minimum salary in Georgia?
მთავარი  სკვერები.,Home  Parks.
სად არის ჩემი წიგნი?,Where is my book?
ლამაზი ხარ.,You're beautiful.
ფაბრიკაში ვმუშაობთ.,We work in a factory.
არგენტინელი.,Argentinian.
სერგეი.,Sergei.
ესპანეთში.,Spain.
კორეულს ვსწავლობ.,I study Korean.
მე რუსეთიდან ვარ.,I am from Russia.
ხვალ ვინ მიდის ქალაქში?,Who is going into the city tomorrow?
სახელმწიფო უსაფრთხოების სამსახურის.,the State Security Service.
თქვენ იქ ცხოვრობთ?,Do you live there?
შექსპირის.,Shakespeare.
Tatiana გარეშე.,Tatyana.
აზერბაიჯანისა.,Azerbaijan.
ცესკო.,CEC.
ლგბტ.,LGBT.
ინდური სახელია.,It's an Indian name.
საგარეჯოს.,Sagarejo.
ევროკავშირისა.,EU.
სახალხო დამცველი.,The Public Defender.
ბულგარეთის.,Bulgaria.
მაჟორიტარული.,majoritarian.
ნიდერლანდები.,Netherlands.
ვერ ვცხოვრობ ეგეთ ცხოვრებას.,I can't live that kind of life.
აფრიკის.,African.
ინგლისი.,England.
ოთახი მზიანია.,The room is sunny.
აქ მუშაობ?,Do you work here?
საახალწლო.,New Year 's Eve.
უკაცრავად. თქვენ ის პიროვნება ხართ?,Excuse me. Are you that person?
თურქმენეთი.,Turkmenistan.
ნაღდი ფულით ვიხდი.,I am paying with cash.
ბაქოს.,Baku.
ლიბიაში.,Libya.
საქართველომ.,Georgia.
ის ჩემი ძაღლია.,It is my dog.
გერმანიაში.,Germany.
ზუგდიდი.,Zugdidi.
მე მოგცემ ფულს.,I'll give you money.
ვალენსიაში.,Valencia.
მილტონ შუპე.,Milton Shupe.
მან ახალგაზრდა გოგონების ყურადღება მიიპყრო.,He sought the attention of young girls.
"ცოლი არ მინდა, გოგონა მინდა სექსისთვის.","It's not a wife that I want, but a sex friend."
ის არასდროს მატყუებს მე.,He never lies to me.
ლაშა ჭაღიაშვილის გუნდმა.,Lasha Chaghiashvili.
ტომს ეშინია ძაღლის.,Tom is afraid of the dog.
შენ გადაწყვიტე.,You decide.
მან უნდა დატოვოს.,She needs to leave.
მე ტურისტულ სააგენტოში ვმუშაობ.,I work in a tourist agency.
ცესკოს.,CEC.
ყაზახეთის.,Kazakh.
ის ახალი სურათი არის?,Is it a recent picture?
ინგლისურს.,English.
სასიამოვნოა თქვენი გაცნობა.,Nice to meet you.
რა თქვი რა გქვია?,What did you say your name was?
პურს ვჭამ.,I eat bread.
თომი არ ხართ?,Aren't you Tom?
წერილი.,Scripture.
ამ წიგნმა ძალიან დამაინტერესა.,I found the book very interesting.
დინამო.,Dinamo.
კომუნიკაციების ეროვნული კომისია.,National Communication Commission.
ქუვეითი.,Kuwait.
პეტრე.,Peter.
ყოფილი სამეფო სასახლე.,Ex Royal Palace.
ჩინურ.,Chinese.
ის მზესუმზირაა.,It's a sunflower.
სამხრეთ აფრიკის რესპუბლიკა.,South Africa.
წითელია.,It's red.
ჩრდილოეთ აფრიკაში.,North Africa.
სვანეთის.,Svaneti.
დათვალე შენ ეს სწორად?,Did you count this right?
ბათუმი > რესტორნები.,Batumi > Restaurants.
ტომი მიკრობიოლოგია.,Tom is a microbiologist.
იუნკერი.,Juncker.
ესპერანტოში.,Esperanto.
პარტიის.,Party.
ნახევარი საათი მოიცადე.,Please wait for thirty minutes.
"მეგონა ვუყვარდი, მაგრამ რეალურად მას ჩემთან მხოლოდ სექსი უნდოდა.","I thought that he loved me, but in reality he just wanted to have sex with me."
ეგ კაცი ჯარისკაცია.,That man is a soldier.
ფილიპ.,Philip.
საწყის ი გვერდიპროდუქციაინსტრუმენტებისამაგრებილითონის სამაგრი ნაკეთობები დიუბელები.,Home  PRODUCTS  TOOLS  Fixture  Ironmongery.
ბრიტანეთში.,Britain.
იორდანია.,Jordan.
წიგნს ავიღე.,I took the book.
უეჭველად!,Definitely!
ეს ნოხი გაწმენდილია.,This rug has been cleaned.
შინაგან საქმეთა სამინისტროს.,the Ministry of Internal Affairs.
სააგენტო.,Agency.
ეროვნული ბანკის.,Riksbank.
ავღანეთში.,Afghanistan.
ბულგარეთი.,Bulgaria.
"თუ ჩუმად ვარ, ეს არ ნიშნავს რომ გეთანხმები.","If I stay silent, it doesn't mean that I agree with you."
ალექსანდრე ბლოკის.,Alexander Blok.
ბაღში ბევრი წითელი ყვავილებია.,There are many red flowers in the garden.
უნიფეის.,UniPAY.
წიგნს წავიკითხავ.,I'll read the book.
ახალციხე.,Akhaltsikhe.
წყნარი ოკეანის.,Pacific.
სადღაც მინახავხარ.,I've seen you somewhere before.
აფრიკა მიგრაციის კონტინენტია.,Africa is a continent of migration.
გიბრალტარი.,Gibraltar.
ტაილანდის.,Thailand.
წაეთრიე სკოლაში! შე ზარმაცო ნაბიჭვარო!,Go to school! You lazy bastard.
ტუალეტის ქაღალდი არ იყო.,There was no toilet paper.
გახსოვთ?,Do you remember?
აღმოსავლეთ ევროპის.,Eastern European.
კავკასიის კვლევითი რესურსების ცენტრი  CRRC.,American Councils CRRC.
შენ ეცადე.,You tried.
ხმალი მინდა!,I want a sword!
სულიწმინდის.,the Holy Spirit.
ლონდონში წასვლა მინდა.,I want to go to London.
პავლეს.,Paul.
მაროკოს.,Morocco.
სახლი პატარაა.,The house is small.
ამერიკული საბჭოები.,American Councils.
დავამტკიცებდი.,I'd approve.
მე რიკარდო ვარ.,I'm Ricardo.
რატომ ძიუდო საუკეთესო არჩევანია თქვენი ბავშვისთვის?,Why is judo the best choice for your child?
კონგრესის.,Congress.
უნგრელი.,Hungarian.
ტორონტოში.,Toronto.
ფრანგულად ლაპარაკობთ?,Do you speak French?
რუსული.,Russian.
ამ ფესტივალზე შეგიძლია დაპატიჟო ყველა ვისაც მოუნდება.,You may invite to the festival whoever wants to come.
"მან ეს წიგნი ძალიან მოკლე დროში დაწერა, მხოლოდ ორი კვირა მუშაობდა მასზე.","He wrote this book in a very short time, spending just two weeks working on it."
იაპონურად ლაპარაკობთ?,Do you speak Japanese?
მარიამს ცხოველები უყვარს.,Mary loves animals.
მე მიყვარს შენი ჩანთა.,I love your bag.
ეს თვითმკვლელობაა.,This is suicide!
უგანდა.,Uganda.
ეს ჩემი მაგიდაა.,This is my table.
ლატვია.,Latvia.
პომიდვრის ჭამა არ მიყვარს.,I don't like eating tomatoes.
დიდი ბრიტანეთი.,UK.
ოდესმე სწავლობ ბიბლიოთეკაში?,Do you ever study in the library?
მე ცხოვრებს ვცხოვრობ.,I live life.
თავის მოკვლა ორჯერ ვცადე.,I've attempted suicide twice.
შავი ზღვის.,Black Sea.
გასაღებები გარდერობში არიან.,The keys are in the wardrobe.
ეს არის ბიჭი.,This is a boy.
შენ ეს ოთახი დასაძინებლად არ შეგეფერება.,This room is not suitable for sleeping.
ძაღლი ვაშლს ჭამს.,The dog is eating an apple.
ეგვიპტელები.,Egyptians.
ჩვენ ჯერ კიდევ ვმუშაობთ სახლში.,We still work at home.
კლიენტი არ მოვიდა.,The customer did not come.
ქართული იცი?,Do you know Georgian?
კატა ვარ.,I'm a cat.
ქოლგა მატარებელში დავტოვე.,I left my umbrella on the train.
სადაა საჭმელი?,Where is the food?
ტოკიო.,Tokyo.
გჭირდება ტუალეტის ქაღალდი?,Do you need toilet paper?
ზამენჰოფი.,Zamenhof.
ქობულეთი.,Kobuleti.
პლაჟში მივდივარ.,I'm going to the beach.
ის პლაჟები აქედან შორსაა.,Those beaches are far from here.
"პოლიციამ დაუყოვნებლივი ქმედება მიიღო, აჯანყებასთან გასამკლავებლად.",The police took immediate action to deal with the riot.
რეგიონული განვითარებისა დეპარტამენტის.,Roads Department.
ახლა ხარ მასწავლებელი.,You're a teacher now.
რა ქვია მას?,Which his name?
ინგლისურად ლაპარაკობ?,Do you speak English?
ზღვა მწვანეა.,The sea is green.
ათენი.,Athens.
ბილი.,Billy.
იაპონი ა.,Japan.
კუნძული.,Island.
გიორგი.,George.
თამარ ჟვანიამ.,Tamar Zhvania.
ლვოვის.,Lviv.
ბინდი მომწონს.,I like candlelight.
ლიბერთი ბანკის.,Liberty Bank.
შენ ამერიკელი ხარ?,Are you American?
სიღნაღი.,Sighnaghi.
ნახვამდის.,See you.
ჯონ.,John.
იუდა.,Judas.
ის ჩემი მაგიდაა.,It is my table.
მე მივდივარ მეგობრის შესახვედრად.,I'm going to meet a friend.
ტომმა უნდოდა იმუშაოს გუშინ.,Tom had to work yesterday.
მტკივა კუჭი.,My stomach hurts.
სამინისტროს.,Ministry.
ესტონეთი.,Estonia.
კლიენტის.,Client.
ჩემი სინდისი არ არის სუფთა.,My conscience is not clean.
ბაკურიანში.,Bakuriani.
რუმინეთში.,Romania.
ბალნეოლოგიური კურორტი წყალტუბო.,Tskaltubo Medical Wellness Resort.
ის წავა სტომატოლოგში.,He will go to the dentist.
ის წერილს დაწერა.,He wrote a letter.
ეკვადორი.,Ecuador.
კვიპროსი.,Cyprus.
ევროკავშირს.,the European Union.
ალბერტ აინშტაინი.,Albert Einstein.
ნინოწმინდის.,Ninotsminda.
იერუსალიმის.,Jerusalem.
ჰარი.,Harry Potter.
ბევრი მაქვს გასაკეთებლად.,I have a lot to do.
მერი.,Mary.
შემსრულებელი ვახტანგ ყოლბაია.,Vakhtang Kolbaia.
მანჰეტენის.,Manhattan.
ისინი არიან ტომის.,They're Tom's.
ომი გრძელდება!,The war continues!
"სახლში თუ დამაგვიანდება წასვლა, ნუ დამელოდები.","If I should be late getting home, please don't wait up for me."
ბუქარესტის.,Bucharest.
აკადემიის.,Academy.
იტალიურად ლაპარაკობ?,Do you speak Italian?
დასვენება!,Relax!
ჯი - ზე.,Escorthub.
მილანში.,Milan.
სენეგალი.,Senegal.
შეხვედრამდე.,See you.
შენ მე გიყვარვარ?,Do you love me?
უნივერსიტეტში.,University.
ქრისტიანული.,Christian.
ეს ანიტის სახლია.,It is Anita's house.
სტრასბურგში.,Strasbourg.
ეს ტელევიზორია.,This is a television.
შრი - ლანკა.,Sri Lanka.
ჩეხეთი.,Czech Republic.
მე სკოლაში მივდივარ.,I go to school.
ჩქარა დაბრუნდება.,He will come back soon.
საწყის ი.,Home  PRODUCTS.
ოლიმპიური თამაშები.,Olympic Games.
კომუნისტური.,Communist.
ქართული.,Georgian.
პალერმო.,Palermo.
პერუს.,Peruvian.
პეკინი.,Beijing.
პორტსმუთი.,Portsmouth.
ლიფტს ნუ გამოიყენებთ.,Don't use the elevator.
ალჟირი.,Algeria.
წიგნი მინდა.,I want a book.
ბულგარეთში.,Bulgaria.
ამერიკელები.,Americans.
ანტიდასავლური.,anti-Western.
მას მე არ უყვარვარ.,He doesn't love me.
გაზაფხულის ფესტივალი.,Spring Festival.
არასდროს მივსულვარ მეჩეთში.,I have never been to a mosque.
რუანდაში.,Rwanda.
რასაკვირველია.,Of course.
მე არ მოგაცდენ.,I won't keep you waiting.
მან თავის მოკვლა სცადა.,She attempted suicide.
ასამბლეის.,Assembly.
დიდი სახლი მაქვს.,I have a big house.
ქართულად ლაპარაკობთ?,Do you speak Georgian?
კლაუდია.,Claudia.
ყბედი ხარ.,You're a bigmouth.
გეთაყვა ნიღაბი ატარო.,Please wear a mask.
მე წიგნის დავწერ.,I'll write a book.
კვარიათი.,Kvariati.
ფრანგულ.,French.
რე_ბანკის.,Re_Bank.
პარლამენტმა.,Parliament.
ფემინისტი ხართ?,Are you a feminist?
ებრაელები.,Jews.
ჩემი მეგობარი უსარგებლოა.,My boyfriend is useless.
ის სახლის კაცია.,He's the man of the house.
ჩემი მეგობარი მექსიკაში ცხოვრობს.,My friend lives in Mexico.
ბერძნული.,Greek.
მწუხარე ვარ.,I'm sad.
კუბის.,Cuba.
აქართველოს.,Georgia.
კიევი.,Kiev.
ეთიოპია.,Ethiopia.
ევროკავშირი.,The European Union.
აი შენი ჩანთა.,Here is your bag.
ლაგოდეხის.,Lagodekhi.
გადატრიალებები ხშირია აფრიკის ქვეყნებში.,Coups are common in African countries.
"ვინ არის უფრო დაბალი, შენ თუ ტომი?","Who's shorter, you or Tom?"
კარგი ლექსიკონი მინდა.,I want a good dictionary.
იერუსალიმში.,Jerusalem.
ჯერ კიდევ ვგეგმავ წავიდე.,I'm still planning to go.
მინდა ვიყო ბავშვი.,I want to be a child.
პნომპენი.,Phnom Penh.
კიოტოში წასვლა მინდა.,I want to go to Kyoto.
კარფურის.,Carrefour.
მწვანე ბუდაპეშტი - ბინები თბილისშ.,Green Budapest - Apartments.
ყველა ის ვაშლი შევჭამე.,I ate all those apples.
გერმანია Train.,Germany Train.
თუხარელის.,Tukhareli.
ვიგებთ.,We understand.
უზენაესი სასამართლოს.,the Supreme Court.
სომხები.,Armenians.
ხუთი საათია.,It's five o'clock.
ის ყველაზე ლამაზი ქალია.,She's the most beautiful woman.
მოხუცი კაცი ყველას უყვარდა,The old man was loved by all.
აზრი აღარ აქვს ამაზე ფიქრს.,It's useless to keep on thinking any more.
ჩემს ძაღლს რეცხავს.,He washes my dog.
Karylle სოლანა.,Karylle Solana.
ევროკავშირ.,EU.
"წვენი არ არის საჭმელი, არამედ სასმელი.",Juice isn't food; it's a drink.
დედაჩემი სახლშია.,My mother is at home.
საბჭო.,Board.
ევროპარლამენტი.,European Parliament.
წარმართთა.,Gentiles.
ტერეზა მაისი.,Theresa May.
საწყისი.,Home  PRODUCTS.
თიბისი ბანკის.,TBC Bank 's.
მას მე უყვარვარ?,Does he love me?
დიდი ბრიტანეთ.,UK.
ტუნისში.,Tunisia.
თურქეთს.,Turkey.
თორმეტი საათია.,It's twelve o'clock.
ლამაზები ხართ.,You're beautiful.
"არა, მადლობა.","No, thank you."
კრედო ბანკი.,Credo Bank.
საიდუმლოს ვინახავ.,I'm keeping a secret.
მილის აქვს ლურჯი თვალები.,Millie's got blue eyes.
რობოტი.,Robot.
თბილის ი.,Tbilisi.
მაგიდა მწვანეა.,The table is green.
ლიბერია.,Liberia.
adminკატეგორიები.,ExactSpy.
ირლანდიის.,Irish.
ჩემი საყვარელი საჭმელია ჩიპსები.,My favourite food is crisps.
დავით ბერნსტაინ ი.,David Bernstein.
მაკედონიური.,Macedonian.
ლოკომოტივი.,Locomotive.
დავაპირეთ.,We promised.
ფრანგული ჩემი მშობლიური ენაა.,French is my native tongue.
ირანულ.,Iranian.
ამბობ რომ ჩემი ცხოვრება საფრთხეშია?,Are you saying my life is in danger?
ტომმა ყველა შეცდომა გაასწორა. ახლა ანგარიში სრულყოფილია.,Tom has corrected the all mistakes. Now the report is perfect.
ხმელთაშუა.,Mediterranean.
ჩრდილოეთ ამერიკის.,North American.
ნუ დაგვივიწყებ!,Don't forget about us!
ჩეხეთის.,Czech.
არასოდეს არ ისმენს რისი თქმაც მინდა.,He never hears what I'm trying to say.
გურიის.,Guria.
ინგლისურ.,English.
სტამბულში.,Istanbul.
შენ კარს აღებ.,You open the door.
კრემლის.,Kremlin.
ბრაზილია სამხრეთ ამერიკაში ყველაზე დიდი ქვეყანაა.,Brazil is the biggest country in South America.
ანგოლა.,Angola.
ძაღლები და კატები არ არიან მეგობრები.,Dogs and cats aren't friends.
დავიწყებთ რაც შეიძლება ჩქარა.,We will begin as soon as possible.
„სად ცხოვრობ შენ?“ „მე ტოკიოში ვცხოვრობ.“,"""Where do you live?"" ""I live in Tokyo."""
შვედეთის.,Sweden.
აზერბაიჯანი.,Azerbaijan.
მოწევა ბევრ ზიანს აყენებს.,Smoking will do you a lot of harm.
მე მიყვარს დონატები,I like doughnuts.
საბურთალოს.,Saburtalo.
მამუკა ბახტაძემ.,Mamuka Bakhtadze.
ის წერს სტატიას სკოლის გაზეთისთვის.,She's writing an article for the school newspaper.
იუნესკოს.,UNESCO.
დანიის.,Danish.
რომელი რესტორნების ქსელი მოგწონს?,Which restaurant chain do you like?
"მისი მშობლების აზრით, ის საკუთარ ფულს სულელ გოგოს ახარჯავდა.",His parents' view was that he was wasting his earnings on a silly girl.
ბრიტანეთს.,Britain.
სხვა სამყარო შესაძლებელია.,Another world is possible.
ახლა მინდა მასთან ლაპარაკი.,I want to talk to her now.
პრაღაში.,Prague.
ჩილე.,Chile.
ისლანდია.,Iceland.
დონალდმა უზმოზე დაიძინა.,Donald slept on an empty stomach.
ერითრეა.,Eritrea.
მე მოგცემ ვაშლს.,I'll give you an apple.
მაიკ.,Mike.
ახლო აღმოსავლეთის.,the Middle East.
ხმა მივეცი დარჩებას.,"I voted ""remain""."
თბილისის ჭადრაკის სასახლე.,Tbilisi Chess Palace.
ინდოეთის.,India.
შვეიცარია.,Switzerland.
ჰელსინკის.,Helsinki.
საქსტატის.,Geostat.
პორტუგალია.,Portugal.
მე არ ვარ მზად ქორწინებისთვის.,I'm not ready for marriage.
ნორვეგია.,Norway.
ძალიან ბედნიერი ვარ საქართველოში.,I am very happy in Georgia.
მე წერილს ვწერ ჩემი ქალიშვილისთვის.,I'm writing a letter to my daughter.
როგორია ცხოვრება რიოში?,How's life in Rio?
მე უნდა ის გავაკეთო ახლა?,Do I have to do it now?
ბედნიერი ვარ.,I'm happy.
მადლობა!,Thanks!
ქალწული.,Virgo.
მარტინ შულცთან.,Martin Schulz.
ყავლაშვილის.,Kavlashvili.
შემომეჭამა.,I accidentally ate the whole thing.
მე ხის ქვეშ ვარ.,I'm under the tree.
